Name,Country,Description,Entity Type,Sector,Team (People) 1,Team (People) 2,Team (People) 3,Team (People) 4,Partner 1 (Orgs),Partner 2 (Orgs),Partner 3 (Orgs),Partner 4 (Orgs),Partner 5 (Orgs),Partner 6 (Orgs),Url,Github,Project 1,Project 2,Project 3,Project 4,Project 5,Project 6,Project 7,Project 8,Related
Twaweza,"Tanzania, Kenya, Uganda","Organisation that works on enabling children to learn, citizens to exercise agency and governments to be more open and responsive in Tanzania, Kenya and Uganda. ",Non Profit,Transparency,Aidan Eyakuze,,,,Hivos,Swedish International Development Agency (SIDA),UK Aid Direct (UKAID),The World Bank,Open Government Partnership,Hewlett Foundation,https://www.twaweza.org,,"Uwezo, Sauti za Wananchi",,,,,,,,
Uganda Parliament Watch,Uganda,Par­lia­ment Watch is a non-profit or­ga­ni­za­tion that mon­i­tors and re­ports on the work of the Par­lia­ment of Uganda.,Non Profit,Transparency,Jeremy Liebowitz,Joseph Munyangabo,,,Centre for Policy Analysis,They Work For You,,,,,http://parliamentwatch.ug,,https://github.com/theyworkforyou/uganda-parliament-watch,,,,,,,,
Uhurulabs,Tanzania,An organisation that works to leverage technology and innovation for development.,Social Enterprise,Governance,Fredrick Mbuya,,,,,,,,,,,,,,,,,,,,
UK Aid Direct (UKAID),United Kingdom,"A United Kingdom initiative of the DFID that supports small and medium sized civil society organisations, based in the UK and overseas, to achieve sustained poverty reduction",Donor / Investor,Governance,David Daniels,,,,,,,,,,https://www.ukaiddirect.org,,,,,,,,,,
University of Dar es Salaam,Tanzania, The oldest and the largest University in Tanzania. ,Social Enterprise,Education,William Anangisye,,,,Millenium Challenge Corporation,President's Emergency Fund for Aids Relief,The World Bank,Buni Innovation Hub,Commision for Science and Technology (COSTECH),Code for Tanzania,https://www.udsm.ac.tz,,"D-Lab, ",,,,,,,,
US Embassy,,,,,,,,,,,,,,,,,,,,,,,,,
USAID,"Tanzania, Kenya, Uganda",An independent agency of the United States federal government that is primarily responsible for administering civilian foreign aid and development assistance,Donor / Investor,Governance,Mark Green,,,,,,,,,,https://www.usaid.gov,,,,,,,,,,
Ushahidi,Kenya,Multiple projects all available on Github,Social Enterprise,Crisis Response,Juliana Rotich,David Kobia,,,Omidyar Network,Knight Foundation,Google,USAID,iHub,,https://www.ushahidi.com/about,https://github.com/ushahidi,Ushahidi Platform,,,,,,,,
Via Water,Netherlands,Organisation that supports projects with innovative solutions for water problems facing affected African cities,Non Profit,Natural Resources,Titia Wouters,,,,,,,,,,https://www.viawater.nl,,,,,,,,,,
Vizzuality,Kenya,"Organisation of data engineers, designers, strategists and scientists creating unique tools and applications with a lasting benefit to society and the environment",Social Enterprise,Governance,Craig Mills,David Gonzalez,David Inga,,,,,,,,http://www.vizzuality.com,https://github.com/Vizzuality,Kenya Dashboard,,,,,,,,
Zye Labs,South Africa,Data science firm that develops apps & tools.,Social Enterprise,Governance,,,,,,,,,,,http://www.zyelabs.net/,https://github.com/zyelabs,,,,,,,,,
SeaSensors,Tanzania,"Sea Sensors is an acoustic data project that collects underwater blast data to help provide quantitative spatial information on the incidence of the problem over time, that will enable targeted enforcement.",Project,Natural Resources,Gill Braulik,,,,,,,,,,https://seasensors.africa/,https://github.com/CodeForAfricaLabs/sensors.AFRICA-SeaSensors,SeaSensors,SoundSort (AIPM),,,,,,,
